domain,source_order,source_journal_name,impact_factor,jcr_value,cass_value,issn_l,print_issn,eissn,all_issns,crossref_publisher,resolution_status,pubmed_supported,pubmed_record_count,pubmed_checked_at,source_url,verification_status
medicine,63,European Respiratory Journal,21.0,呼吸系统-1区,1区,,0903-1936,1399-3003,"[""0903-1936"",""1399-3003""]",European Respiratory Society,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,64,Nature Metabolism,20.8,内分泌学与代谢-1区,1区,,,2522-5812,"[""2522-5812""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,65,Journal of Thoracic Oncology,20.8,"肿瘤学-1区
呼吸系统-1区",1区,,1556-0864,,"[""1556-0864""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,66,Annual Review of Public Health,20.7,公共卫生、环境卫生与职业卫生-1区,1区,,0163-7525,1545-2093,"[""0163-7525"",""1545-2093""]",Annual Reviews,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,67,Annals of the Rheumatic Diseases,20.6,风湿病学-1区,1区,,0003-4967,1468-2060,"[""0003-4967"",""1468-2060""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,68,Cell Stem Cell,20.4,"细胞与组织工程-1区
细胞生物学-1区",1区,,1934-5909,,"[""1934-5909""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,69,Bioactive Materials,20.3,"工程：生物医学-1区
材料科学：生物材料-1区",1区,,2097-1192,2452-199X,"[""2097-1192"",""2452-199X""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,70,JAMA Oncology,20.1,肿瘤学-1区,1区,,2374-2437,,"[""2374-2437""]",American Medical Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,71,Nature Neuroscience,20.0,神经科学-1区,1区,,1097-6256,1546-1726,"[""1097-6256"",""1546-1726""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,72,Trends in Pharmacological Sciences,19.9,药学-1区,1区,,0165-6147,,"[""0165-6147""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,73,Cellular & Molecular Immunology,19.8,免疫学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,74,Nature Aging,19.4,"细胞生物学-1区
老年医学-1区
神经科学-1区",1区,,,2662-8465,"[""2662-8465""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,75,American Journal of Respiratory and Critical Care Medicine,19.4,"危重病医学-1区
呼吸系统-1区",1区,,1073-449X,1535-4970,"[""0003-0805"",""1073-449X"",""1535-4970""]",Oxford University Press,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,76,Clinical Microbiology Reviews,19.3,微生物学-1区,1区,,0893-8512,1098-6618,"[""0893-8512"",""1098-6618""]",American Society for Microbiology,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,77,Annual Review of Physiology,19.1,生理学-1区,1区,,0066-4278,1545-1585,"[""0066-4278"",""1545-1585""]",Annual Reviews,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,78,Cell Host & Microbe,18.7,"微生物学-1区
寄生虫学-1区
病毒学-1区",1区,,1931-3128,,"[""1931-3128""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,79,JAMA Pediatrics,18.0,儿科-1区,1区,,2168-6203,,"[""2168-6203""]",American Medical Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,80,Lancet Global Health,18.0,公共卫生、环境卫生与职业卫生-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,81,Lancet Haematology,17.7,血液学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,82,Advanced Drug Delivery Reviews,17.6,药学-1区,1区,,0169-409X,,"[""0169-409X""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,83,Trends in Cancer,17.5,肿瘤学-1区,1区,,2405-8033,,"[""2405-8033""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,84,Molecular Neurodegeneration,17.5,神经科学-1区,1区,,1750-1326,1750-1326,"[""1750-1326""]",Springer (Biomed Central Ltd.),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,85,Psychotherapy and Psychosomatics,17.4,"精神病学-1区
心理学-1区",1区,,0033-3190,1423-0348,"[""0033-3190"",""1423-0348""]",S. Karger AG,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,86,Pharmacological Reviews,17.3,药学-1区,1区,,0031-6997,1521-0081,"[""0031-6997"",""1521-0081""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,87,Mmwr-Morbidity and Mortality Weekly Report,17.3,公共卫生、环境卫生与职业卫生-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,88,JAMA Psychiatry,17.1,精神病学-1区,1区,,2168-622X,2168-6238,"[""2168-622X"",""2168-6238""]",American Medical Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,89,Clinical and Molecular Hepatology,16.9,胃肠肝病学-1区,1区,,2287-2728,2287-285X,"[""2287-2728"",""2287-285X""]",The Korean Association for the Study of the Liver,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,90,Cancer Research,16.6,肿瘤学-1区,1区,,0008-5472,1538-7445,"[""0008-5472"",""1538-7445""]",American Association for Cancer Research,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,91,Diabetes Care,16.6,内分泌学与代谢-1区,1区,,0149-5992,0149-5992,"[""0149-5992"",""1935-5548""]",American Diabetes Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,92,Lancet Rheumatology,16.4,风湿病学-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,93,Journal of the National Comprehensive Cancer Network,16.4,肿瘤学-1区,2区,,1540-1405,1540-1413,"[""1540-1405"",""1540-1413""]","Harborside Press, LLC",resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,94,Science Immunology,16.3,免疫学-1区,1区,,,2470-9468,"[""2470-9468""]",American Association for the Advancement of Science (AAAS),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,95,British Journal of Sports Medicine,16.2,运动科学-1区,1区,,0306-3674,1473-0480,"[""0306-3674"",""1473-0480""]",BMJ,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,96,Circulation Research,16.2,"心脏和心血管系统-1区
血液学-1区
外周血管病-1区",1区,,0009-7330,1524-4571,"[""0009-7330"",""1524-4571""]",Ovid Technologies (Wolters Kluwer) - American Heart Association,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,97,Human Reproduction Update,16.1,"妇产科学-1区
生殖生物学-1区",1区,,1355-4786,1460-2369,"[""1355-4786"",""1460-2369""]",Oxford University Press,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,98,Hepatology,15.8,胃肠肝病学-1区,1区,,0270-9139,1527-3350,"[""0270-9139"",""1527-3350""]",Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,99,Periodontology 2000,15.7,牙科与口腔外科-1区,1区,,0906-6713,1600-0757,"[""0906-6713"",""1600-0757""]",Wiley (Blackwell Publishing),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,100,Seminars in Cancer Biology,15.7,肿瘤学-1区,2区,,1044-579X,1096-3650,"[""1044-579X"",""1096-3650""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,101,Lancet Child & Adolescent Health,15.5,儿科-1区,1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,102,Translational Neurodegeneration,15.2,神经科学-1区,1区,,2047-9158,2047-9158,"[""2047-9158""]",Springer (Biomed Central Ltd.),resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,103,Annals of Internal Medicine,15.2,医学：内科-1区,1区,,0003-4819,1539-3704,"[""0003-4819"",""1539-3704""]",American College of Physicians,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,104,Radiology,15.2,核医学-1区,1区,,0033-8419,1527-1315,"[""0033-8419"",""1527-1315""]",Radiological Society of North America,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,105,JACC-Cardiovascular Imaging,15.2,"心脏和心血管系统-1区
核医学-1区",1区,,,,[],,unresolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,106,npj Digital Medicine,15.1,"卫生保健与服务-1区
医学：信息-1区",1区,,,2398-6352,"[""2398-6352""]",Springer Science and Business Media LLC,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
medicine,107,Trends in Neurosciences,15.1,神经科学-1区,1区,,0166-2236,,"[""0166-2236""]",Elsevier,resolved,unknown,0,,https://mp.weixin.qq.com/s/h_3PwOTE-7CNowwthUzEzg,pending_clarivate_verification
